and,and,0.44,0.59,FALSE,FALSE,FALSE,0
yjeu,<unk>,0.59,0.75,FALSE,FALSE,FALSE,0
went,went,0.8,1.02,FALSE,FALSE,FALSE,0
off,off,1.06,1.58,FALSE,FALSE,FALSE,0
i,i,2.99,3.15,FALSE,FALSE,TRUE,0
seen,seen,3.2,4.35,FALSE,FALSE,FALSE,0
UM,UM,6,6.43,TRUE,TRUE,FALSE,1
IN,in,6.51,6.79,TRUE,FALSE,TRUE,4
I,i,6.8,6.81,TRUE,FALSE,TRUE,4
IN,in,6.82,7.23,TRUE,FALSE,TRUE,4
it,it,7.23,7.37,FALSE,FALSE,FALSE,0
UM,UM,8.83,9.32,TRUE,TRUE,FALSE,1
they,they,12.3,12.5,FALSE,FALSE,FALSE,0
had,had,12.5,12.86,FALSE,FALSE,FALSE,0
animation,animation,12.929999,13.899999,FALSE,FALSE,FALSE,0
and,and,13.92,14.68,FALSE,FALSE,FALSE,0
UM,UM,17,17.4,TRUE,TRUE,FALSE,1
computer,computer,19.71,19.79,FALSE,FALSE,FALSE,0
work,work,19.79,19.82,FALSE,FALSE,FALSE,0
UM,UM,23.76,23.88,TRUE,TRUE,FALSE,1
it,it,24.1,24.18,FALSE,FALSE,FALSE,0
was,was,24.18,24.62,FALSE,FALSE,FALSE,0
quite,quite,25,25.34,FALSE,FALSE,FALSE,0
FU,fu,25.34,25.4,TRUE,FALSE,TRUE,2
FUNNY,funny,25.62,26.01,TRUE,FALSE,TRUE,2
UM,UM,30.12,30.37,TRUE,TRUE,FALSE,1
it,it,30.74,30.89,FALSE,FALSE,FALSE,0
was,was,30.889999,31.719999,FALSE,FALSE,FALSE,0
about,about,31.9,32.21,FALSE,FALSE,FALSE,0
this,this,32.33,32.44,FALSE,FALSE,FALSE,0
UM,UM,32.44,32.88,TRUE,TRUE,FALSE,1
girl,girl,35.23,35.26,FALSE,FALSE,FALSE,0
WHO,who,35.26,35.28,TRUE,FALSE,TRUE,4
was,was,35.28,35.31,FALSE,FALSE,FALSE,0
a,,35.31,35.48,FALSE,FALSE,FALSE,0
PRI,<unk>,35.48,35.89,TRUE,FALSE,TRUE,2
PRINCESS,princess,38.68,39.11,TRUE,FALSE,TRUE,2
but,but,39.11,39.18,FALSE,FALSE,FALSE,0
then,then,39.18,39.21,FALSE,FALSE,FALSE,0
got,got,39.38,39.63,FALSE,FALSE,FALSE,0
SSSSSSPLIT,<unk>,40.02,40.48,TRUE,FALSE,TRUE,2
up,up,40.48,40.55,FALSE,FALSE,FALSE,0
with,with,41.22,41.45,FALSE,FALSE,FALSE,0
her,her,41.47,41.64,FALSE,FALSE,FALSE,0
FA,<unk>,41.64,41.83,TRUE,FALSE,TRUE,2
FAMILY,family,41.88,42.53,TRUE,FALSE,TRUE,2
and,,42.53,43.17,FALSE,FALSE,FALSE,2
AND,and,43.17,43.66,TRUE,FALSE,TRUE,2
she,she,46.88,47,FALSE,FALSE,FALSE,0
was,was,47,47.29,FALSE,FALSE,FALSE,0
trying,trying,47.309999,47.659999,FALSE,FALSE,FALSE,0
to,to,47.69,47.84,FALSE,FALSE,FALSE,0
UM,UM,48.099999,48.119999,TRUE,TRUE,FALSE,1
get,get,48.13,48.33,FALSE,FALSE,FALSE,0
BACK,<unk>,48.33,48.54,TRUE,FALSE,TRUE,0
to,to,49.559999,49.949999,FALSE,FALSE,FALSE,0
them,them,50.27,50.6,FALSE,FALSE,FALSE,0
UM,UM,54.42,54.51,TRUE,TRUE,FALSE,1
UM,UM,56.53,56.55,TRUE,TRUE,FALSE,1
someone,someone,60.73,61.35,FALSE,FALSE,FALSE,0
had,had,61.4,61.61,FALSE,FALSE,FALSE,0
UM,UM,61.74,61.99,TRUE,TRUE,FALSE,1
U,,61.99,78.38,TRUE,FALSE,TRUE,1
U,u,78.38,78.48,TRUE,FALSE,TRUE,1
UM,,78.48,78.77,TRUE,TRUE,FALSE,1
she,she,78.77,79.37,FALSE,FALSE,FALSE,0
didn't,didn't,80.41,80.45,FALSE,FALSE,FALSE,0
quite,quite,80.45,80.67,FALSE,FALSE,FALSE,0
make,make,80.67,80.92,FALSE,FALSE,FALSE,0
it,it,80.92,81.14,FALSE,FALSE,FALSE,0
to,to,81.139999,81.339999,FALSE,FALSE,FALSE,0
